Search Term,Title,Price,Condition,Sold Quantity,Location,Discount,Seller Rating,Seller Sales Completed,Seller Username,Seller Location,Color,Seller Address,Payment Methods,Description
Xiaomi Redmi,Xiaomi Redmi Note 13 Pro 8gb Ram Forest Green 256gb,599999,new,,{'name': 'San Martin'},,,,,,,"{'city': {'name': 'San Martin'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlZJTDg5NDBa', 'name': 'Villa Lynch'}, 'city': {'id': 'TUxBQ0dFTmVyYWxz', 'name': 'General San Martín'}, 'state': {'id': 'TUxBUEdSQWU4ZDkz', 'name': 'Bs.As. G.B.A. Norte'}}, 'id': 128760893}",,
Xiaomi Redmi,Xiaomi Redmi Note 11 Pro+ 5g (mediatek) Dual Sim 256 Gb  Negro 8 Gb Ram,653711,new,,{'name': 'Zavalla'},,,,,,,"{'city': {'name': 'Zavalla'}, 'state': {'id': 'AR-S', 'name': 'Santa Fe'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlpBVjc3NDla', 'name': 'Zavalla'}, 'city': {'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}, 'state': {'id': 'TUxBUFNBTmU5Nzk2', 'name': 'Santa Fe'}}, 'id': 1198477860}",,
Xiaomi Redmi,Xiaomi Redmi Note 9 S 4gb/64gb Garantia Tienda Oficial Color Interstellar Gray,350000,new,,"{'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}",,,,,,,"{'city': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1195301511}",,
Xiaomi Redmi,Xiaomi Redmi Note 12 5g Dual Sim 256 Gb  Mystique Blue 8 Gb Ram,550000,new,,{'name': 'Capital Federal'},,,,,,,"{'city': {'name': 'Capital Federal'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQkNBQjM4MDda', 'name': 'Caballito'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 172184758}",,
Xiaomi Redmi,Celular Xiaomi Redmi Note 11 128gb Azul Reacondicionado,254990,new,,"{'id': 'TUxBQlBBVDI0ODFa', 'name': 'Paternal'}",,,,,,,"{'city': {'id': 'TUxBQlBBVDI0ODFa', 'name': 'Paternal'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBVDI0ODFa', 'name': 'Paternal'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1133569285}",,
Huawei P30,"Huawei P30 Lite 128gb 4ram, Liberado, Nuevo",300000,new,,{'name': 'Lugano'},,,,,,,"{'city': {'name': 'Lugano'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1313356022}",,
Huawei P30,"Huawei P30 Lite, Liberado De 256gb",400000,new,,{'name': 'Lugano'},,,,,,,"{'city': {'name': 'Lugano'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1313356022}",,
Huawei P30,Celular P30 Pro (detalle Pantalla) 8gb Ram / 256gb ,265000,used,,{'name': 'Barrio patron santiago'},,,,,,,"{'city': {'name': 'Barrio patron santiago'}, 'state': {'id': 'AR-M', 'name': 'Mendoza'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'state': {'id': 'TUxBUE1FTmE5OWQ4', 'name': 'Mendoza'}}, 'id': 1104291441}",,
Huawei P30,Huawei P30 Pro Dual Sim ,440000,used,,"{'id': 'TUxBQ0NISTcwYmFk', 'name': 'Chimbas'}",,,,,,,"{'city': {'id': 'TUxBQ0NISTcwYmFk', 'name': 'Chimbas'}, 'state': {'id': 'AR-J', 'name': 'San Juan'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'city': {'id': 'TUxBQ0NISTcwYmFk', 'name': 'Chimbas'}, 'state': {'id': 'TUxBUFNBTm5lYjU4', 'name': 'San Juan'}}, 'id': 1244938700}",,
Huawei P30,Celular Huawei P30 Lite,160000,used,,"{'id': 'TUxBQ1NBTjQ0ZWIy', 'name': 'San Fernando'}",,,,,,,"{'city': {'id': 'TUxBQ1NBTjQ0ZWIy', 'name': 'San Fernando'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'city': {'id': 'TUxBQ1NBTjQ0ZWIy', 'name': 'San Fernando'}, 'state': {'id': 'TUxBUEdSQWU4ZDkz', 'name': 'Bs.As. G.B.A. Norte'}}, 'id': 1162120281}",,
Huawei P30,Huawei P30 Pro Dual Sim ,200000,used,,{'name': 'Berazategui'},,,,,,,"{'city': {'name': 'Berazategui'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQkJFUjUyOTNa', 'name': 'Berazategui'}, 'city': {'id': 'TUxBQ0JFUjYyYWU3', 'name': 'Berazategui'}, 'state': {'id': 'TUxBUEdSQXJlMDNm', 'name': 'Bs.As. G.B.A. Sur'}}, 'id': 147866772}",,
